location,date,variant,num_sequences,perc_sequences,num_sequences_total
Sweden,2021-04-19,Kappa,2,0.04,5602
Sweden,2021-04-19,Epsilon,0,0.0,5602
Sweden,2021-04-19,Eta,3,0.05,5602
Sweden,2021-04-19,Iota,0,0.0,5602
Sweden,2021-04-19,Lambda,0,0.0,5602
Sweden,2021-04-19,B.1.621,0,0.0,5602
Sweden,2021-04-19,S:677P.Pelican,,,5602
Sweden,2021-04-19,S:677H.Robin1,,,5602
Sweden,2021-04-19,others,42,0.75,5602
Sweden,2021-04-19,non_who,137,2.45,5602
Sweden,2021-05-03,B.1.160,3,0.05,5566
Sweden,2021-05-03,B.1.620,0,0.0,5566
Sweden,2021-05-03,B.1.258,3,0.05,5566
Sweden,2021-05-03,B.1.221,0,0.0,5566
Sweden,2021-05-03,B.1.1.302,0,0.0,5566
Sweden,2021-05-03,B.1.1.277,0,0.0,5566
Sweden,2021-05-03,B.1.1.519,0,0.0,5566
Sweden,2021-05-03,B.1.367,0,0.0,5566
Sweden,2021-05-03,B.1.177,29,0.52,5566
Sweden,2021-05-03,Beta,128,2.3,5566
Sweden,2021-05-03,Alpha,5353,96.17,5566
Sweden,2021-05-03,Gamma,3,0.05,5566
Sweden,2021-05-03,Delta,9,0.16,5566
Sweden,2021-05-03,Kappa,0,0.0,5566
Sweden,2021-05-03,Epsilon,0,0.0,5566
Sweden,2021-05-03,Eta,0,0.0,5566
Sweden,2021-05-03,Iota,2,0.04,5566
Sweden,2021-05-03,Lambda,0,0.0,5566
Sweden,2021-05-03,B.1.621,0,0.0,5566
Sweden,2021-05-03,S:677P.Pelican,,,5566
Sweden,2021-05-03,S:677H.Robin1,,,5566
Sweden,2021-05-03,others,36,0.66,5566
Sweden,2021-05-03,non_who,71,1.28,5566
Sweden,2021-05-17,B.1.160,0,0.0,5471
Sweden,2021-05-17,B.1.620,0,0.0,5471
Sweden,2021-05-17,B.1.258,2,0.04,5471
Sweden,2021-05-17,B.1.221,1,0.02,5471
Sweden,2021-05-17,B.1.1.302,0,0.0,5471
Sweden,2021-05-17,B.1.1.277,0,0.0,5471
Sweden,2021-05-17,B.1.1.519,0,0.0,5471
Sweden,2021-05-17,B.1.367,0,0.0,5471
Sweden,2021-05-17,B.1.177,3,0.05,5471
Sweden,2021-05-17,Beta,100,1.83,5471
